origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan
SO361178,0.20423945,0.02444,106.7700864,-6.2676543,KEBAYORAN LAMA
SO361163,0.163216,0.0150865,106.78534,-6.2588,KEBAYORAN BARU
SO361125,0.025688,0.008376,106.7694555,-6.3398821,PAMULANG
SO361120,0.040178,0.007972,106.968655,-6.3236821,GUNUNG PUTRI
SO361114,0.025688,0.025,106.8034571,-6.506065,CIBINONG
SO361108,0.25391896,0.041307,106.857655,-6.4066039,CILODONG
SO361105,0.260032,0.0289615,106.750359,-6.166054,KEMBANGAN
SO361090,0.27369,0.145784,106.559326,-6.2296927,CURUG
SO361070,0.0429572,0.0068600000000000006,106.5505919,-6.1989444,CURUG
SO361065,0.0952455,0.0192,106.7320894,-6.4163533,PARUNG
SO361063,0.0556445,0.022209,106.7666457,-6.3113362,CIPUTAT TIMUR
SO361054,0.025688,0.00165,106.6807605,-6.1511441,BENDA
SO361053,0.286508,0.018170000000000002,106.7112824,-6.2282294,CILEDUG
SO361050,0.199568,0.02124,106.7894057,-6.1614489,GROGOL PETAMBURAN
SO361048,0.4374265,0.10149599999999999,106.812646,-6.342256,JAGAKARSA
SO361042,1.171459844,0.63103700000000007,106.6840576,-6.2946434,SERPONG
SO361038,0.139469744,0.076864999999999989,106.6060421,-6.2207359,KELAPA DUA
SO361021,0.93658075,0.18880000000000002,106.6856142,-6.1812364,CIPONDOH
SO361015,0.930392068,0.21155600000000002,106.7713773,-6.3004239,CILANDAK
SO361018,0.043076,0.006181,106.726694,-6.1506724,CENGKARENG
SO361005,0.15926575,0.0336535,106.6467004,-6.2166755,PINANG
SO360994,0.408224,0.02892,106.728907,-6.239812,LARANGAN
SO360984,0.13713365,0.07062,106.668606,-6.290585,SERPONG
SO360982,0.1552398,0.051039,106.799795,-6.165631,GROGOL PETAMBURAN
SO360980,0.00889203,0.0068,106.7554948,-6.3219566,CIPUTAT TIMUR
SO360978,0.077782,0.01056,106.8371283,-6.4633466,CIBINONG
SO360975,0.82444154,0.31273500000000004,106.7897451,-6.3699112,LIMO
SO360967,0.00889203,0.0068,106.6711743,-6.0190497,TELUKNAGA
SO360963,0.058469625,0.0338,106.6752978,-6.1608418,BATUCEPER
SO360957,0.23330313,0.13507,106.6425437,-6.0786778,TELUKNAGA
SO360956,0.065582,0.02682,106.7889652,-6.4858084,BOJONG GEDE
SO360944,0.235552,0.036539999999999996,106.7519903,-6.2987655,CIPUTAT TIMUR
SO360926,1.167878568,0.271177,106.9026696,-6.2451237,DUREN SAWIT
